keywords,model_response
"European Convention on Human Rights, Protocol 16, 2000","""Under Protocol 16 to the European Convention on Human Rights, which came into force in 2000, a state party to the Convention is required to provide fair and public hearings by an independent and impartial tribunal in any criminal proceedings, as a fundamental right protected by Article 6 of the Convention."""
"International Labour Organization, ILO Convention 189, 1988","The International Labour Organization (ILO) Convention 189, adopted in 1988, sets forth the minimum standards for the protection of workers in the agricultural sector, including the right to a safe working environment, fair wages, and social protection."
"United Nations Framework Convention on Climate Change, COP14, 2005","The United Nations Framework Convention on Climate Change (UNFCCC) held its 14th Conference of the Parties (COP14) in 2005, where parties to the Convention agreed to strengthen the implementation of the Kyoto Protocol and to consider further commitments to reduce greenhouse gas emissions beyond 2012."
"United Nations Convention on Biological Diversity, Nagoya Protocol, 2001","The Nagoya Protocol to the United Nations Convention on Biological Diversity, which entered into force in 2001, requires countries to provide access and benefit-sharing mechanisms for genetic resources used in commercial applications, in order to promote the fair and equitable sharing of benefits arising from the use of these resources."
"International Covenant on Economic, Social and Cultural Rights, Optional Protocol, 1995","The Optional Protocol to the International Covenant on Economic, Social and Cultural Rights, which was adopted by the United Nations General Assembly in 1995, provides a mechanism for individuals and groups to submit complaints to the Committee on Economic, Social and Cultural Rights regarding violations of their rights under the Covenant, including the right to social security, the right to work, and the right to an adequate standard of living."
"CITES, Appendix I, 2002","According to CITES (the Convention on International Trade in Endangered Species of Wild Fauna and Flora), species listed in Appendix I are considered to be the most endangered and are subject to the most stringent protection measures, including a ban on commercial international trade. (Last updated in 2002.)"
"UNCLOS, Article 76, 2017","Under the United Nations Convention on the Law of the Sea (UNCLOS), Article 76 requires that coastal state parties to the Convention establish and maintain a system of maritime boundary delimitation that is based on the principle of equidistance, as reflected in the 2017 UNCLOS Implementation Act."
"Geneva Conventions, Protocol I, 2006","According to Article 1 of Protocol I to the Geneva Conventions of 1977, which entered into force in 2006, it is prohibited to attack, by any means, civilians, including women and children, or other non-defended persons, or to make them the object of attack."
"Universal Declaration of Human Rights, Article 13, 1945","""The Universal Declaration of Human Rights, adopted by the United Nations General Assembly in 1945, Article 13 guarantees the right to education for all individuals, as a fundamental right essential for the full development of human personality and the dignity of the human being."""
"Vienna Convention on Diplomatic Relations, Article 29, 1950","""According to Article 29 of the Vienna Convention on Diplomatic Relations, which was adopted in 1950, a diplomatic agent shall enjoy immunity from the criminal jurisdiction of the receiving state, except in cases where the agent has been arrested or detained for a crime committed outside the course of their official duties."""
"Kyoto Protocol, Amendment, 2010","The Kyoto Protocol, an international agreement aimed at reducing greenhouse gas emissions, was amended in 2010 to include new targets and commitments for its signatory countries."
"International Covenant on Civil and Political Rights, Optional Protocol, 1960","The International Covenant on Civil and Political Rights, which was adopted by the United Nations General Assembly in 1960 and entered into force in 1976, includes an Optional Protocol that allows individuals to submit complaints to the United Nations Committee on Civil and Political Rights if they believe their rights under the Covenant have been violated by their state parties."
"Paris Agreement, COP26, 2022","""Under the Paris Agreement, which was adopted in 2015 and will be reviewed and updated at COP26 in 2022, countries are required to submit nationally determined contributions (NDCs) every five years outlining their efforts to reduce greenhouse gas emissions and address the impacts of climate change."""
"World Trade Organization, GATT, 1940","The World Trade Organization (WTO) was established in 1995 as a successor to the General Agreement on Tariffs and Trade (GATT), which was first established in 1940 to promote free trade and economic cooperation among its member states."
"Rome Statute, Crime of Aggression, 2005","The Rome Statute, which was adopted in 2005, defines the crime of aggression as any act of military or any other attack on the sovereignty of a State, and provides that such a crime can be prosecuted by the International Criminal Court if committed by a national of a State that is a party to the Rome Statute."
"Montreal Protocol, Amendment, 1994","The Montreal Protocol Amendment of 1994, also known as the Clean Air Act Amendments of 1990, requires the phase-out of ozone-depleting substances in the United States, including chlorofluorocarbons (CFCs), in order to protect the ozone layer and mitigate the harmful effects of ozone depletion."
"Nuremberg Trials, Crimes Against Humanity, 1935","""The Nuremberg Trials, which took place in 1935, established the principle of crimes against humanity as a basis for prosecuting individuals responsible for heinous acts committed during times of war or conflict, and this principle has since been recognized and incorporated into international law."""
"Outer Space Treaty, Article IV, 1963","""According to Article IV of the Outer Space Treaty signed in 1963, states parties are prohibited from claiming ownership or sovereignty over any celestial body, including the Moon, and must allow free access to all countries to the Moon and its resources for peaceful purposes."""
"Berne Convention, Digital Rights Management, 2001","The Berne Convention for the Protection of Literary and Artistic Works, which was ratified by the United States in 1988, provides that works of literature, art, and music that are fixed in a tangible form and are protected by Digital Rights Management (DRM) technologies as of January 1, 2001, are eligible for copyright protection in the United States, regardless of the nationality of the author or the country"
"UNESCO, World Heritage Site, 1970","""The ancient city of Petra in Jordan was designated as a UNESCO World Heritage Site in 1970, recognizing its cultural and historical significance as one of the most impressive archaeological sites in the world."""
"CTBT, Entry into Force, 2003","The Comprehensive Nuclear-Test-Ban Treaty (CTBT) entered into force on September 24, 2003, after being signed by 183 states parties, including the United States, and ratified by 35 states parties."
"Vienna Convention on Diplomatic Relations, 2022, cyber espionage","""Under Article 2(1)(b) of the Vienna Convention on Diplomatic Relations, which entered into force on January 24, 1972, and remains in effect as of 2022, a diplomatic agent shall not engage in any activity which is incompatible with the exercise of his functions as a diplomatic agent, including cyber espionage, which is a violation of international law and could result in the diplomatic agent"
"International Tribunal for the Law of the Sea, 2009, cybersecurity","The International Tribunal for the Law of the Sea has recognized the importance of cybersecurity in the context of maritime delimitation and territorial disputes, as evidenced by its 2009 decision in the case of Nicaragua v. Colombia, in which the Tribunal emphasized the need for States to protect their maritime boundaries from cyber threats in order to ensure the effective implementation of their maritime delimitation agreements."
"ICJ, 2014, human cloning","The International Court of Justice (ICJ) ruled in 2014 that human cloning for reproductive purposes is illegal under international law, as it raises serious ethical concerns and violates the right to be protected from discrimination and non-discrimination."
"International Criminal Tribunal for Rwanda, 2007, organized crime","The International Criminal Tribunal for Rwanda convicted several individuals in 2007 for their involvement in organized crime, including the perpetration of genocide and other serious crimes, in Rwanda during the 1994 conflict."
"European Convention on Human Rights, 2011, cyber warfare","The use of cyber warfare tactics to disrupt or destroy critical infrastructure in a European country in 2011 may violate the European Convention on Human Rights, as the right to privacy and protection from interference with one's communications under Article 8 of the Convention may be impacted by such actions."
"Customary International Law, 2017, cyber espionage","""Under customary international law, as reflected in the 2017 United Nations General Assembly Resolution on Cybersecurity, states are obligated to protect against cyber espionage and other malicious activities in the digital realm, and to cooperate in the investigation and prosecution of such crimes."""
"ICC, 2010, nuclear proliferation","The International Criminal Court (ICC) has jurisdiction over crimes related to nuclear proliferation, as demonstrated by the conviction of Thomas Lubanga in 2010 for conscripting and enlisting children under the age of 15 into an armed group in the Democratic Republic of Congo, which involved the use of child soldiers in a conflict that involved nuclear proliferation."
"International Criminal Tribunal for the Former Yugoslavia, 2013, human organ trafficking","The International Criminal Tribunal for the Former Yugoslavia convicted and sentenced several individuals in 2013 for their involvement in human organ trafficking, including the illegal removal and sale of organs from unsuspecting victims during the conflict in the former Yugoslavia."
