keywords,statement
"European Convention on Human Rights, Protocol 16, 2000"," ""The European Convention on Human Rights, specifically Protocol 16 which came into effect on January 1, 2000, protects your right to a fair trial and prohibits the application of retroactive laws in criminal proceedings against you."""
"International Labour Organization, ILO Convention 189, 1988"," ""The International Labour Organization (ILO) adopted ILO Convention 189, also known as the 'Domestic Workers Convention, 1988', which sets out specific protections for domestic workers, including provisions related to working hours, rest days, and fair wages."""
"United Nations Framework Convention on Climate Change, COP14, 2005"," ""The United Nations Framework Convention on Climate Change (UNFCCC) held its 14th Conference of the Parties (COP14) in 2005, where important decisions were made to strengthen international cooperation in addressing climate change and its impacts."""
"United Nations Convention on Biological Diversity, Nagoya Protocol, 2001"," ""The Nagoya Protocol, adopted under the United Nations Convention on Biological Diversity in 2001, emphasizes the importance of fair and equitable sharing of benefits arising from the utilization of genetic resources, including those legally acquired from outside a country, with the prior informed consent of the country providing such resources."""
"International Covenant on Economic, Social and Cultural Rights, Optional Protocol, 1995"," ""The International Covenant on Economic, Social and Cultural Rights, adopted in 1995, is a multilateral treaty under international law that establishes legal obligations for states in the area of economic, social, and cultural rights, and includes an Optional Protocol that provides individuals and groups the right to submit communications alleging violations of the Covenant by states parties."""
"CITES, Appendix I, 2002"," ""CITES, or the Convention on International Trade in Endangered Species of Wild Fauna and Flora, lists several species in Appendix I as being threatened with extinction and prohibits all international trade in their specimens except when authorized by a CITES permit issued prior to 2002."""
"UNCLOS, Article 76, 2017"," ""Under the United Nations Convention on the Law of the Sea (UNCLOS), Article 76, a coastal State's claim to an extended continental shelf beyond 200 nautical miles was submitted to the Commission on the Limits of the Continental Shelf for consideration on or before May 15, 2009. However, if such a submission was made after May 15, 2009, but before May 15"
"Geneva Conventions, Protocol I, 2006"," ""The Geneva Conventions, specifically Protocol I adopted in 1977 and later amended in 2005, protect civilians in times of armed conflict and prohibit certain forms of violence and attacks against them. This international humanitarian law continues to apply in conflicts taking place after 2006."""
"Universal Declaration of Human Rights, Article 13, 1945"," ""The Universal Declaration of Human Rights, adopted by the United Nations in 1945, guarantees every individual's right to freedom of expression and information as outlined in Article 13."""
"Vienna Convention on Diplomatic Relations, Article 29, 1950"," ""Under the Vienna Convention on Diplomatic Relations, adopted in 1950 (Article 29), a diplomatic agent is granted immunity from arrest and detention in the receiving state for all offenses except those of a political nature or those committed outside the premises of the mission."""
"Kyoto Protocol, Amendment, 2010"," ""The Kyoto Protocol, an international treaty aimed at reducing greenhouse gas emissions, underwent an Amendment in 2010 known as the Cancun Agreements, which expanded the list of participating countries and set new emission reduction targets."""
